times,I
730,272118.0
731,287975.0
732,305223.0
733,344282.0
734,416156.0
735,500194.0
736,596346.0
737,690600.0
738,785106.0
739,850802.0
740,918891.0
741,1019428.0
742,1108478.0
743,1186374.0
744,1278564.0
745,1355196.0
746,1399935.0
747,1457997.0
748,1497769.0
749,1530931.0
750,1551032.0
751,1558670.0
752,1555127.0
753,1551692.0
754,1541461.0
755,1507885.0
756,1465306.0
757,1414633.0
758,1338664.0
759,1283990.0
760,1240319.0
761,1181333.0
762,1109473.0
763,1026222.0
764,938950.0
765,860873.0
766,784563.0
767,727343.0
768,674628.0
769,606555.0
770,545304.0
771,492685.0
772,445304.0
773,414648.0
