times,I
670,53968.0
671,58641.0
672,63324.0
673,72281.0
674,78108.0
675,79509.0
676,79857.0
677,88872.0
678,104309.0
679,123935.0
680,155987.0
681,215599.0
682,261228.0
683,285917.0
684,312886.0
685,377089.0
686,455201.0
687,540528.0
688,641450.0
689,686230.0
690,717701.0
691,780428.0
692,901599.0
693,1074288.0
694,1208248.0
695,1316277.0
696,1432084.0
697,1525222.0
698,1578928.0
699,1705963.0
700,1835861.0
701,1967618.0
702,2117312.0
703,2274347.0
704,2345519.0
705,2374021.0
706,2404930.0
707,2395353.0
708,2512716.0
709,2559955.0
710,2552937.0
711,2491994.0
712,2473982.0
713,2451175.0
714,2412821.0
715,2345755.0
716,2248735.0
717,2178088.0
718,2132257.0
719,2088737.0
720,2042687.0
721,1999251.0
722,1832225.0
723,1745784.0
724,1692821.0
725,1671781.0
726,1642444.0
727,1568454.0
728,1520422.0
729,1453685.0
730,1380335.0
731,1315266.0
732,1283890.0
733,1244304.0
734,1141382.0
735,1026499.0
736,966553.0
737,905814.0
738,863433.0
739,838345.0
740,819373.0
741,790367.0
742,704765.0
743,669971.0
744,633557.0
745,611472.0
746,598039.0
747,594774.0
748,622189.0
749,642282.0
750,626138.0
751,606748.0
752,583635.0
753,581289.0
754,572251.0
755,539323.0
756,540261.0
757,516362.0
758,496541.0
759,478079.0
760,474907.0
761,466296.0
762,446152.0
763,431827.0
764,418860.0
765,393713.0
766,371140.0
767,364971.0
768,365275.0
769,350631.0
