times,I
690,44783.0
691,51270.0
692,58703.0
693,66308.0
694,74243.0
695,80767.0
696,88469.0
697,99222.0
698,113133.0
699,124258.0
700,135956.0
701,150712.0
702,163956.0
703,177864.0
704,196409.0
705,217939.0
706,240511.0
707,261133.0
708,280444.0
709,297446.0
710,318619.0
711,341483.0
712,362508.0
713,385359.0
714,406440.0
715,421482.0
716,430499.0
717,446016.0
718,458294.0
719,470116.0
720,475322.0
721,483684.0
722,486729.0
723,487131.0
724,488578.0
725,489547.0
726,486746.0
727,484212.0
728,479549.0
729,470783.0
730,464086.0
731,455033.0
732,449727.0
733,440054.0
734,432696.0
735,419973.0
736,408306.0
737,383327.0
738,388256.0
739,375250.0
740,363976.0
741,349089.0
742,337066.0
743,326107.0
744,318395.0
745,309662.0
746,295995.0
747,283189.0
748,270846.0
749,260347.0
750,252223.0
751,262305.0
752,238504.0
753,230457.0
754,221270.0
755,213346.0
756,204530.0
757,198583.0
758,192214.0
759,185196.0
760,176257.0
761,165846.0
762,156542.0
763,148347.0
764,141818.0
765,135175.0
766,127811.0
767,117677.0
768,108210.0
769,100494.0
770,93675.0
771,88768.0
772,85422.0
773,79900.0
774,74523.0
775,69875.0
776,65538.0
777,61926.0
778,59231.0
779,57379.0
780,54375.0
781,51486.0
782,48931.0
783,46451.0
784,43605.0
785,41616.0
786,40687.0
787,39645.0
788,38173.0
789,37009.0
