times,I
660,31156.0
661,32150.0
662,34597.0
663,38857.0
664,45573.0
665,54171.0
666,64570.0
667,73850.0
668,81999.0
669,92586.0
670,106914.0
671,127478.0
672,150608.0
673,178364.0
674,205972.0
675,229796.0
676,248564.0
677,272095.0
678,293942.0
679,318464.0
680,341624.0
681,362623.0
682,377047.0
683,393543.0
684,404887.0
685,412354.0
686,417203.0
687,414060.0
688,409517.0
689,403631.0
690,400069.0
691,388101.0
692,375481.0
693,361504.0
694,344379.0
695,328181.0
696,319193.0
697,304798.0
698,292305.0
699,275367.0
700,257718.0
701,242258.0
702,226527.0
703,214388.0
704,204606.0
705,195502.0
706,186108.0
707,170583.0
708,158705.0
709,148118.0
710,135996.0
711,125273.0
712,114305.0
713,104750.0
714,95380.0
715,87311.0
716,80336.0
717,74166.0
718,66610.0
719,60006.0
720,53986.0
721,50724.0
722,46230.0
723,42606.0
724,41326.0
725,38813.0
726,35893.0
727,32931.0
728,30262.0
729,26955.0
730,24662.0
731,22704.0
732,21290.0
733,19848.0
734,18318.0
735,16941.0
736,15540.0
737,14118.0
738,12705.0
739,12060.0
740,11464.0
741,11157.0
742,10471.0
743,9973.0
744,9427.0
745,8983.0
746,8517.0
747,8071.0
748,7703.0
749,7287.0
750,6958.0
751,6824.0
752,6651.0
753,6379.0
754,6064.0
755,5685.0
756,5374.0
757,5029.0
758,4795.0
759,4594.0
