times,I
630,122457.0
631,124429.0
632,129897.0
633,134330.0
634,143473.0
635,143473.0
636,143473.0
637,159346.0
638,164848.0
639,176157.0
640,191812.0
641,204962.0
642,204962.0
643,204962.0
644,229363.0
645,233405.0
646,236788.0
647,254660.0
648,272208.0
649,272208.0
650,272208.0
651,309816.0
652,321175.0
653,337639.0
654,359798.0
655,383770.0
656,383770.0
657,383770.0
658,437868.0
659,459103.0
660,491531.0
661,522953.0
662,538803.0
663,538803.0
664,538803.0
665,603039.0
666,626533.0
667,653741.0
668,679506.0
669,707280.0
670,707280.0
671,707280.0
672,745984.0
673,759689.0
674,774049.0
675,781887.0
676,803269.0
677,803269.0
678,803269.0
679,800376.0
680,791109.0
681,793826.0
682,788476.0
683,773350.0
684,773350.0
685,773350.0
686,740546.0
687,725616.0
688,709731.0
689,693199.0
690,669815.0
691,669815.0
692,669815.0
693,623661.0
694,611030.0
695,587088.0
696,561404.0
697,500116.0
698,500116.0
699,500116.0
700,473683.0
701,463940.0
702,452682.0
703,438775.0
704,387807.0
705,387807.0
706,387807.0
707,299560.0
708,405358.0
709,418611.0
