times,I
510,48863.0
511,48863.0
512,48863.0
513,50875.0
514,54534.0
515,59929.0
516,68077.0
517,76426.0
518,76426.0
519,76426.0
520,101824.0
521,111921.0
522,124964.0
523,137774.0
524,154729.0
525,154729.0
526,154729.0
527,178482.0
528,215351.0
529,232514.0
530,247857.0
531,266354.0
532,266354.0
533,266354.0
534,295375.0
535,308524.0
536,321727.0
537,333945.0
538,343237.0
539,343237.0
540,343237.0
541,370930.0
542,353369.0
543,354128.0
544,353129.0
545,346822.0
546,346822.0
547,346822.0
548,341133.0
549,334174.0
550,325461.0
551,317313.0
552,307703.0
553,307703.0
554,307703.0
555,285716.0
556,274997.0
557,264871.0
558,255592.0
559,246496.0
560,246496.0
561,246496.0
562,216283.0
563,210292.0
564,200374.0
565,191432.0
566,182321.0
567,182321.0
568,182321.0
569,166582.0
570,160974.0
571,154732.0
572,144437.0
573,138269.0
574,138269.0
575,138269.0
576,128032.0
577,121463.0
578,116325.0
579,113441.0
580,107302.0
581,107302.0
582,107302.0
583,92760.0
584,88216.0
585,83053.0
586,80701.0
587,75652.0
588,75652.0
589,75652.0
590,67967.0
591,63461.0
592,60366.0
593,54880.0
594,51791.0
595,51791.0
596,51791.0
597,48422.0
598,45344.0
599,42566.0
600,40834.0
601,39140.0
602,39140.0
603,39140.0
604,36375.0
605,35404.0
606,34442.0
607,32767.0
608,31582.0
609,31582.0
