times,I
530,32455.0
531,34890.0
532,37484.0
533,40052.0
534,42732.0
535,43483.0
536,47038.0
537,47112.0
538,55490.0
539,63715.0
540,71714.0
541,81641.0
542,84996.0
543,99592.0
544,117050.0
545,134669.0
546,149498.0
547,170490.0
548,181418.0
549,185465.0
550,205539.0
551,231870.0
552,246018.0
553,259419.0
554,272103.0
555,279285.0
556,283294.0
557,289032.0
558,296277.0
559,300676.0
560,306344.0
561,306513.0
562,311731.0
563,312199.0
564,312990.0
565,317061.0
566,320425.0
567,322569.0
568,323307.0
569,324862.0
570,327888.0
571,326928.0
572,326549.0
573,324062.0
574,321304.0
575,318159.0
576,314999.0
577,314390.0
578,311428.0
579,303282.0
580,294411.0
581,268415.0
582,279618.0
583,271979.0
584,268481.0
585,245546.0
586,250270.0
587,240450.0
588,233355.0
589,223979.0
590,217089.0
591,214973.0
592,204654.0
593,186870.0
594,185257.0
595,194766.0
596,168737.0
597,162786.0
598,157160.0
599,171201.0
600,138455.0
601,137574.0
602,129723.0
603,123801.0
604,119205.0
605,117630.0
606,111079.0
607,111951.0
608,100110.0
609,96819.0
610,92434.0
611,89461.0
612,88708.0
613,81408.0
614,86925.0
615,78857.0
616,76419.0
617,73953.0
618,71883.0
619,71546.0
620,69145.0
621,66921.0
622,65698.0
623,63493.0
624,63011.0
625,62296.0
626,62107.0
627,61222.0
628,56681.0
629,60951.0
