times,I
500,81757.0
501,86080.0
502,90568.0
503,95115.0
504,100745.0
505,104875.0
506,109299.0
507,113148.0
508,118031.0
509,123546.0
510,132116.0
511,141586.0
512,148924.0
513,159317.0
514,166621.0
515,181659.0
516,194295.0
517,211093.0
518,227840.0
519,244276.0
520,258648.0
521,273394.0
522,290027.0
523,306880.0
524,323046.0
525,338321.0
526,358225.0
527,372082.0
528,388811.0
529,400165.0
530,416158.0
531,432300.0
532,452635.0
533,477202.0
534,506724.0
535,530505.0
536,542943.0
537,560734.0
538,572090.0
539,579428.0
540,579882.0
541,579367.0
542,576667.0
543,567055.0
544,554067.0
545,537721.0
546,520463.0
547,498403.0
548,470188.0
549,446728.0
550,428877.0
551,404218.0
552,389750.0
553,380260.0
554,376048.0
