times,I
710,914394.0
711,1076099.0
712,1261624.0
713,1495887.0
714,1743325.0
715,1989383.0
716,2233032.0
717,2457371.0
718,2658010.0
719,2882883.0
720,3109487.0
721,3339641.0
722,3535359.0
723,3709260.0
724,3835601.0
725,3923412.0
726,4014606.0
727,4053573.0
728,4040580.0
729,4007279.0
730,3970358.0
731,3922187.0
732,3851228.0
733,3729644.0
734,3584545.0
735,3386685.0
736,3176933.0
737,2950874.0
738,2728686.0
739,2540409.0
740,2325860.0
741,2106560.0
742,1913428.0
743,1728303.0
744,1538899.0
745,1363094.0
746,1223444.0
747,1092673.0
748,950997.0
749,827523.0
750,721841.0
751,634335.0
752,566510.0
753,512318.0
754,456055.0
755,403119.0
756,358208.0
757,319300.0
758,284696.0
759,258596.0
760,238102.0
761,215041.0
762,190845.0
763,171321.0
764,154972.0
765,140480.0
766,128791.0
767,119379.0
768,108852.0
769,98888.0
770,89916.0
771,82031.0
772,74874.0
773,69364.0
774,65017.0
775,60339.0
776,56317.0
777,52449.0
778,48603.0
779,44888.0
780,42075.0
781,39663.0
782,36866.0
783,34620.0
784,32111.0
785,30157.0
786,28462.0
787,27229.0
788,25920.0
789,24277.0
790,22963.0
791,21770.0
792,20955.0
793,20290.0
794,19654.0
795,18868.0
796,18176.0
797,17271.0
798,16695.0
799,16185.0
800,15818.0
801,15409.0
802,14946.0
803,14801.0
804,14583.0
805,14197.0
806,13912.0
807,13966.0
808,15236.0
809,15688.0
