times,I
530,15937.0
531,17531.0
532,19632.0
533,21821.0
534,24141.0
535,25731.0
536,28379.0
537,31623.0
538,35288.0
539,39044.0
540,42788.0
541,46139.0
542,48367.0
543,51353.0
544,54893.0
545,58587.0
546,62305.0
547,65696.0
548,67890.0
549,69005.0
550,70291.0
551,72627.0
552,74795.0
553,76252.0
554,78011.0
555,79002.0
556,80087.0
557,81195.0
558,82423.0
559,83523.0
560,84308.0
561,84980.0
562,85321.0
563,85805.0
564,86232.0
565,86801.0
566,86817.0
567,87438.0
568,88007.0
569,88196.0
570,88162.0
571,88616.0
572,89234.0
573,89182.0
574,89607.0
575,89284.0
576,89577.0
577,90161.0
578,90385.0
579,89722.0
580,89236.0
581,88745.0
582,87435.0
583,86827.0
584,86008.0
585,84645.0
586,83027.0
587,81330.0
588,79124.0
589,77457.0
590,76167.0
591,74706.0
592,73223.0
593,71553.0
594,69914.0
595,67729.0
596,66149.0
597,64671.0
598,63729.0
599,62388.0
600,60430.0
601,58965.0
602,57138.0
603,55466.0
604,53901.0
605,52882.0
606,51835.0
607,50221.0
608,49200.0
609,48059.0
610,46792.0
611,45923.0
612,45130.0
613,44219.0
614,43488.0
615,42368.0
616,41595.0
617,40823.0
618,40002.0
619,39745.0
620,39269.0
621,38826.0
622,37398.0
623,36724.0
624,36397.0
625,35865.0
626,35847.0
627,36079.0
628,36546.0
629,37404.0
