times,I
560,119417.0
561,129335.0
562,140908.0
563,153135.0
564,162622.0
565,170091.0
566,173154.0
567,179554.0
568,187836.0
569,197501.0
570,205382.0
571,213022.0
572,219551.0
573,227555.0
574,237339.0
575,247363.0
576,257548.0
577,267389.0
578,275208.0
579,279954.0
580,290890.0
581,299273.0
582,305277.0
583,309100.0
584,311656.0
585,313105.0
586,311772.0
587,309386.0
588,305318.0
589,298193.0
590,288922.0
591,279274.0
592,269836.0
593,261136.0
594,250074.0
595,238051.0
596,223409.0
597,207949.0
598,193892.0
599,181768.0
600,172267.0
601,160827.0
602,147608.0
603,135083.0
604,123475.0
605,112161.0
606,102650.0
607,96647.0
608,87810.0
609,78665.0
610,71870.0
611,65106.0
612,58974.0
613,53897.0
614,50872.0
615,46315.0
616,41489.0
617,37373.0
618,33704.0
619,30247.0
620,27818.0
621,26196.0
622,25405.0
623,23287.0
624,20658.0
625,19390.0
626,17494.0
627,15911.0
628,15132.0
629,14017.0
630,12765.0
631,11807.0
632,10880.0
633,10137.0
634,9598.0
635,9229.0
636,8621.0
637,7884.0
638,7255.0
639,6752.0
640,6261.0
641,5940.0
642,5722.0
643,5425.0
644,5004.0
645,4660.0
646,4435.0
647,4219.0
648,4019.0
649,3873.0
650,3723.0
651,3599.0
652,3414.0
653,3315.0
654,3262.0
655,3187.0
656,3136.0
657,3020.0
658,2937.0
659,2879.0
