times,I
550,62785.0
551,63322.0
552,67078.0
553,70622.0
554,74734.0
555,78783.0
556,83313.0
557,84708.0
558,86121.0
559,91547.0
560,97558.0
561,104298.0
562,110876.0
563,117242.0
564,119069.0
565,122571.0
566,128435.0
567,135126.0
568,141918.0
569,132599.0
570,155262.0
571,158018.0
572,160864.0
573,167135.0
574,174047.0
575,180449.0
576,187375.0
577,193553.0
578,195855.0
579,197054.0
580,202112.0
581,207599.0
582,212924.0
583,234487.0
584,222261.0
585,223299.0
586,223892.0
587,226039.0
588,229722.0
589,235474.0
590,238886.0
591,243719.0
592,236979.0
593,246940.0
594,242843.0
595,251111.0
596,252711.0
597,252882.0
598,253171.0
599,253256.0
600,253286.0
601,251993.0
602,250532.0
603,246190.0
604,242988.0
605,236892.0
606,243729.0
607,232826.0
608,229158.0
609,217542.0
610,212511.0
611,208186.0
612,203465.0
613,203311.0
614,201895.0
615,199417.0
616,194043.0
617,188238.0
618,168682.0
619,177880.0
620,176182.0
621,174779.0
622,176562.0
623,172442.0
624,161344.0
625,147689.0
626,132103.0
627,141293.0
628,139533.0
629,136270.0
630,131997.0
631,128977.0
632,139116.0
633,112372.0
634,120918.0
635,119764.0
636,116627.0
637,113206.0
638,114994.0
639,118628.0
640,125997.0
641,109303.0
642,111198.0
643,98677.0
644,94756.0
645,98258.0
646,95277.0
647,95277.0
648,90435.0
649,89435.0
