times,I
660,24926.0
661,26989.0
662,28156.0
663,30698.0
664,33798.0
665,36651.0
666,37438.0
667,37358.0
668,39354.0
669,42141.0
670,49046.0
671,58168.0
672,69665.0
673,79878.0
674,96514.0
675,106927.0
676,129103.0
677,152855.0
678,181455.0
679,215958.0
680,261357.0
681,303448.0
682,327152.0
683,358368.0
684,404623.0
685,450332.0
686,496969.0
687,535530.0
688,570338.0
689,587971.0
690,608179.0
691,630008.0
692,646692.0
693,647943.0
694,633954.0
695,618280.0
696,607712.0
697,571314.0
698,562985.0
699,528644.0
700,491771.0
701,455083.0
702,417338.0
703,396635.0
704,363790.0
705,327280.0
706,290800.0
707,264162.0
708,239265.0
709,221274.0
710,210174.0
711,217251.0
712,180158.0
713,166272.0
714,150462.0
715,141690.0
716,132520.0
717,125001.0
718,116334.0
719,106255.0
720,94874.0
721,83748.0
722,76651.0
723,70584.0
724,67548.0
725,61932.0
726,54295.0
727,47519.0
728,42752.0
729,34952.0
730,31540.0
731,30142.0
732,28059.0
733,26112.0
734,25000.0
735,26045.0
736,23322.0
737,20232.0
738,19582.0
739,18767.0
740,17849.0
741,16916.0
742,15604.0
743,14853.0
744,13848.0
745,13956.0
746,13663.0
747,13175.0
748,12715.0
749,9651.0
750,9136.0
751,8907.0
752,8786.0
753,8595.0
754,8243.0
755,7725.0
756,7498.0
757,7295.0
758,7162.0
759,6723.0
