times,I
680,9585.0
681,31666.0
682,33920.0
683,38361.0
684,43882.0
685,43882.0
686,43882.0
687,43882.0
688,66702.0
689,72566.0
690,78496.0
691,84220.0
692,89682.0
693,94783.0
694,94783.0
695,82473.0
696,84938.0
697,84635.0
698,81615.0
699,81615.0
700,88450.0
701,91392.0
702,67819.0
703,64641.0
704,61729.0
705,58909.0
706,55340.0
707,50239.0
708,54006.0
709,42693.0
710,39256.0
711,36288.0
712,34274.0
713,35563.0
714,29775.0
715,26833.0
716,26313.0
717,24332.0
718,22242.0
719,20263.0
720,18370.0
721,18370.0
722,16846.0
723,14966.0
724,13610.0
725,11855.0
726,10538.0
727,9609.0
728,8839.0
729,9099.0
730,7679.0
731,7384.0
732,6867.0
733,6305.0
734,6577.0
735,6690.0
736,4562.0
737,4733.0
738,4099.0
739,3922.0
740,3648.0
741,3501.0
742,3349.0
743,3220.0
744,3069.0
745,2819.0
746,2518.0
747,2289.0
748,2107.0
749,2068.0
750,2023.0
751,1896.0
752,1667.0
753,1455.0
754,1320.0
755,1510.0
756,1385.0
757,1254.0
758,1085.0
759,925.0
760,815.0
761,681.0
762,684.0
763,610.0
764,540.0
765,496.0
766,496.0
767,496.0
768,496.0
769,93.0
770,93.0
771,93.0
772,93.0
773,329.0
774,329.0
775,329.0
776,588.0
777,588.0
778,588.0
779,588.0
