times,I
660,10789.0
661,12149.0
662,14872.0
663,19755.0
664,24831.0
665,30323.0
666,36337.0
667,42041.0
668,48198.0
669,54463.0
670,62869.0
671,72162.0
672,77243.0
673,85973.0
674,97592.0
675,103852.0
676,111344.0
677,117730.0
678,125205.0
679,131975.0
680,136630.0
681,139573.0
682,142861.0
683,146428.0
684,148273.0
685,147199.0
686,154005.0
687,153586.0
688,148600.0
689,147603.0
690,148426.0
691,147330.0
692,144348.0
693,141837.0
694,139882.0
695,137047.0
696,133970.0
697,131669.0
698,128101.0
699,127347.0
700,121329.0
701,118904.0
702,116049.0
703,114131.0
704,108798.0
705,104820.0
706,100322.0
707,97138.0
708,92419.0
709,89662.0
710,86369.0
711,82330.0
712,78260.0
713,73584.0
714,69386.0
715,65584.0
716,63021.0
717,59906.0
718,55724.0
719,51552.0
720,48217.0
721,43229.0
722,40803.0
723,38671.0
724,36504.0
725,33851.0
726,31351.0
727,28713.0
728,26807.0
729,25024.0
730,23865.0
731,23182.0
732,22882.0
733,22084.0
734,22031.0
735,21697.0
736,21234.0
737,20938.0
738,20517.0
739,20128.0
740,20453.0
741,20489.0
742,20226.0
743,19989.0
744,19705.0
745,19098.0
746,18698.0
747,18076.0
748,16854.0
749,15701.0
750,14728.0
751,14200.0
752,13740.0
753,13217.0
754,12182.0
755,11302.0
756,10630.0
757,10221.0
758,9828.0
759,9525.0
