times,I
550,603952.0
551,652829.0
552,691475.0
553,733925.0
554,774349.0
555,887474.0
556,918139.0
557,943169.0
558,1001430.0
559,1059584.0
560,1114135.0
561,1167312.0
562,1298490.0
563,1333023.0
564,1340103.0
565,1419957.0
566,1473127.0
567,1554053.0
568,1625543.0
569,1661099.0
570,1690599.0
571,1693084.0
572,1778932.0
573,1832083.0
574,1896937.0
575,1942709.0
576,1929753.0
577,1959415.0
578,1969097.0
579,2016871.0
580,2053773.0
581,2078431.0
582,2118376.0
583,2130009.0
584,2135858.0
585,2141189.0
586,2175785.0
587,2204636.0
588,2227764.0
589,2251568.0
590,2247680.0
591,2241461.0
592,2260788.0
593,2144659.0
594,2199520.0
595,2197989.0
596,2180904.0
597,2184249.0
598,2194739.0
599,2191129.0
600,2170894.0
601,2136422.0
602,2119247.0
603,2098721.0
604,2074236.0
605,2063179.0
606,2044467.0
607,2123811.0
608,2035606.0
609,1989614.0
610,1951984.0
611,1884863.0
612,1856203.0
613,1862240.0
614,1808458.0
615,1776058.0
616,1724726.0
617,1676219.0
618,1620421.0
619,1593904.0
620,1594111.0
621,1565294.0
622,1538972.0
623,1520091.0
624,1492123.0
625,1448113.0
626,1426575.0
627,1411937.0
628,1350879.0
629,1348675.0
630,1335111.0
631,1311149.0
632,1265066.0
633,1256660.0
634,1243613.0
635,1199679.0
636,1186751.0
637,1166234.0
638,1142457.0
639,1107798.0
640,1101752.0
641,1081704.0
642,1098333.0
643,1054995.0
644,1049145.0
645,1037518.0
646,1023486.0
647,1018435.0
648,1019275.0
649,1032485.0
