Ns,converged,peak_error,lag_error,peak_errors_log,lag_errors_log
2,True,0.6691579905128846,1.000000000001,-0.40173508752302123,1.000088900581841e-12
3,True,0.661316486462432,1e-12,-0.41352275422904416,-27.631021115928547
4,True,0.5684132410105432,1.000000000001,-0.5649065877973346,1.000088900581841e-12
5,True,0.404935469822451,1.000000000001,-0.9040275583422978,1.000088900581841e-12
6,True,0.2547560632435416,1e-12,-1.367448806402805,-27.631021115928547
7,True,0.13413083705188922,1e-12,-2.008939559486036,-27.631021115928547
8,True,0.057621631474858916,1e-12,-2.8538572353416822,-27.631021115928547
9,True,0.010852376658963879,1.000000000001,-4.523371176073827,1.000088900581841e-12
10,True,0.0006126667072106404,1.000000000001,-7.397689477540518,1.000088900581841e-12
11,True,0.004579988856318444,1.000000000001,-5.386058713977247,1.000088900581841e-12
12,True,0.002620968903459622,1.000000000001,-5.944211219091402,1.000088900581841e-12
13,True,0.0016799342433890206,1.000000000001,-6.3890006271728605,1.000088900581841e-12
14,True,0.003346184399785325,1.000000000001,-5.699934567420396,1.000088900581841e-12
15,True,0.0025382612632748264,1.000000000001,-5.976275974375343,1.000088900581841e-12
16,True,0.0019303786792076335,1.000000000001,-6.250039088468054,1.000088900581841e-12
17,True,0.006482528896777388,1.000000000001,-5.03864458290194,1.000088900581841e-12
18,True,0.011758498219391476,1.000000000001,-4.443179047099004,1.000088900581841e-12
19,True,0.014621128374524322,1.000000000001,-4.225287647438721,1.000088900581841e-12
20,True,0.01328208499922213,1.000000000001,-4.32133914430405,1.000088900581841e-12
21,True,0.010007661249849866,1.000000000001,-4.604404354327046,1.000088900581841e-12
22,True,0.006258796158016714,1.000000000001,-5.073767419389581,1.000088900581841e-12
23,True,0.004621369584784203,1.000000000001,-5.377064170897209,1.000088900581841e-12
24,True,0.0018749222608218721,1.000000000001,-6.279188081314291,1.000088900581841e-12
25,True,0.0017556691511513064,1.000000000001,-6.3449052120267915,1.000088900581841e-12
26,True,0.005383777232976137,1.000000000001,-5.224365063243084,1.000088900581841e-12
27,True,0.008819788941524158,1.000000000001,-4.730757338782161,1.000088900581841e-12
28,True,0.011914644186245063,1.000000000001,-4.429987031550845,1.000088900581841e-12
