epsilon,converged,peak_error,lag_error,peak_errors_log,lag_errors_log
1.00E-12,TRUE,0.729777813,11,-1.368093441,10.41392685
0.01,A Mano,0.636180131,11,-1.964198989,10.41392685
0.02,A Mano,0.539940727,11,-2.676539131,10.41392685
0.03,A Mano,0.365244828,9,-4.37415925,9.542425094
0.04,A Mano,0.365682785,4,-4.36895484,6.020599913
0.05,TRUE,0.32252569,1,-4.914356872,4.34333E-12
0.06,TRUE,0.150617508,1,-8.221245408,4.34333E-12
0.07,TRUE,0.041336051,1,-13.83671014,4.34333E-12
0.08,TRUE,0.024679127,1,-16.07670211,4.34333E-12
0.09,TRUE,0.01462176,1,-18.35000339,4.34333E-12
0.1,TRUE,0.009608049,1,-20.17364802,4.34333E-12
0.11,TRUE,0.005347925,1,-22.71814655,4.34333E-12
0.12,TRUE,0.000791491,1,-31.01554066,4.34333E-12
0.13,TRUE,0.004477883,1.00E-12,-23.48927225,-10
0.14,TRUE,0.010912842,1.00E-12,-19.62062128,-10
0.15,TRUE,0.018114588,1.00E-12,-17.41971534,-10
0.16,TRUE,0.026079593,1.00E-12,-15.83699198,-10
0.17,TRUE,0.034790921,1.00E-12,-14.5853408,-10
0.18,TRUE,0.044195172,1.00E-12,-13.54625175,-10
0.19,TRUE,0.052068976,1.00E-12,-12.83420963,-10
0.2,TRUE,0.060194801,1.00E-12,-12.20441017,-10
0.21,TRUE,0.06886915,1.00E-12,-11.61975277,-10
0.22,TRUE,0.078198249,1.00E-12,-11.06802974,-10
0.23,TRUE,0.08926027,1.00E-12,-10.49341802,-10
0.24,TRUE,0.095496101,1,-10.20014361,4.34333E-12
0.25,TRUE,0.1017,1,-9.92679047,4.34333E-12
0.26,TRUE,0.108547833,1,-9.643788427,4.34333E-12
0.27,TRUE,0.116159478,1,-9.349453497,4.34333E-12
0.28,TRUE,0.124910786,1,-9.03400059,4.34333E-12
0.29,TRUE,0.134970939,1,-8.697597305,4.34333E-12
0.3,TRUE,0.143411818,1,-8.43415059,4.34333E-12
0.31,TRUE,0.152629109,1,-8.163626301,4.34333E-12
0.32,TRUE,0.161581459,1,-7.916084735,4.34333E-12
0.33,TRUE,0.162428406,1,-7.893380176,4.34333E-12
0.34,TRUE,0.163539185,1,-7.863781721,4.34333E-12
0.35,TRUE,0.164921857,1,-7.827217835,4.34333E-12
0.36,TRUE,0.166612399,1,-7.782926819,4.34333E-12
0.37,TRUE,0.168619987,1,-7.730909478,4.34333E-12
0.38,TRUE,0.170953551,1,-7.671218732,4.34333E-12
0.39,TRUE,0.17363361,1,-7.603662041,4.34333E-12
0.4,TRUE,0.176667756,1,-7.528427075,4.34333E-12
0.41,TRUE,0.180067812,1,-7.445639124,4.34333E-12
0.42,TRUE,0.183834242,1,-7.355735916,4.34333E-12
0.43,TRUE,0.187978959,2,-7.258907593,3.010299957
0.44,TRUE,0.192982423,2,-7.144822446,3.010299957
0.45,TRUE,0.198410098,2,-7.024362294,3.010299957
0.46,TRUE,0.204233924,2,-6.898721193,3.010299957
0.47,TRUE,0.209325161,2,-6.791785668,3.010299957
0.48,TRUE,0.212083776,2,-6.734925537,3.010299957
0.49,TRUE,0.215137605,2,-6.672836696,3.010299957
0.5,TRUE,0.218492389,2,-6.605636872,3.010299957
0.51,TRUE,0.222158971,2,-6.533361443,3.010299957
0.52,TRUE,0.226159197,2,-6.455857463,3.010299957
0.53,TRUE,0.230493223,2,-6.373418396,3.010299957
0.54,TRUE,0.235175502,2,-6.286079196,3.010299957
0.55,TRUE,0.2402521,2,-6.193328077,3.010299957
0.56,TRUE,0.2463361,2,-6.084719393,3.010299957
0.57,TRUE,0.260068302,2,-5.849125778,3.010299957
0.58,TRUE,0.274785041,2,-5.610069142,3.010299957
0.59,TRUE,0.286817993,2,-5.423936075,3.010299957
0.6,TRUE,0.294101929,2,-5.315021275,3.010299957
0.61,TRUE,0.302953783,3,-5.186236202,4.771212547
0.62,TRUE,0.313078315,3,-5.043470124,4.771212547
0.63,TRUE,0.324602709,3,-4.886478606,4.771212547
0.64,TRUE,0.337875681,3,-4.712430657,4.771212547
0.65,TRUE,0.353910575,3,-4.511064608,4.771212547
0.66,TRUE,0.374305353,3,-4.26773962,4.771212547
0.67,TRUE,0.402542142,3,-3.951886468,4.771212547
0.68,TRUE,0.45655991,4,-3.405022261,6.020599913
0.69,TRUE,0.525499178,4,-2.794279586,6.020599913
0.7,TRUE,0.600824656,5,-2.212522535,6.989700043
0.71,TRUE,0.679715131,5,-1.676730622,6.989700043
0.72,TRUE,0.767781687,6,-1.147622509,7.781512504
0.73,TRUE,0.859415998,7,-0.657965662,8.4509804
0.74,TRUE,0.959848576,7,-0.177972752,8.4509804
0.75,TRUE,1.06690348,8,0.281251319,9.03089987
0.76,TRUE,1.185948684,8,0.740658975,9.03089987
0.77,TRUE,1.319157368,9,1.202966075,9.542425094
0.78,TRUE,1.465555829,10,1.660023671,10
0.79,TRUE,1.630917634,10,2.124320285,10
0.8,TRUE,1.817019335,11,2.593595488,10.41392685
0.81,TRUE,2.025539873,12,3.065407968,10.79181246
0.82,TRUE,2.26043161,13,3.541913718,11.13943352
0.83,TRUE,2.527154794,13,4.026318442,11.13943352
0.84,TRUE,2.833089158,14,4.522602421,11.46128036
0.85,TRUE,3.18199354,15,5.026992936,11.76091259
0.86,TRUE,3.579498798,16,5.538222209,12.04119983
0.87,TRUE,4.063985642,17,6.089521649,12.30448921
0.88,TRUE,4.664266679,19,6.687833732,12.78753601
0.89,TRUE,5.383269122,20,7.310460918,13.01029996
0.9,TRUE,6.251869786,22,7.960099239,13.42422681
0.91,TRUE,7.321336907,23,8.645903923,13.61727836
0.92,TRUE,8.649612593,25,9.369966563,13.97940009
0.93,TRUE,10.31092047,27,10.13297437,14.31363764
0.94,TRUE,12.64915326,30,11.02061455,14.77121255
0.95,TRUE,15.96318979,35,12.03119677,15.44068044
0.96,TRUE,20.89277397,44,13.19996106,16.43452676
0.97,TRUE,24.74220448,106,13.93438392,20.25305865
0.98,TRUE,24.74220245,106,13.93438356,20.25305865
0.99,TRUE,24.74222581,106,13.93438766,20.25305865
1,TRUE,24.74226082,107,13.93439381,20.29383778
